well,cycle,replicate,pME6032,plasmid,IPTG,OD600_corr
A2,15,a,PFLU4242,none,0,0.018
A2,16,a,PFLU4242,none,0,0.022
A2,17,a,PFLU4242,none,0,0.027
A2,18,a,PFLU4242,none,0,0.034
A2,19,a,PFLU4242,none,0,0.041
A2,20,a,PFLU4242,none,0,0.051
A2,21,a,PFLU4242,none,0,0.061
A2,22,a,PFLU4242,none,0,0.075
A2,23,a,PFLU4242,none,0,0.089
A2,24,a,PFLU4242,none,0,0.106
A2,25,a,PFLU4242,none,0,0.126
A2,26,a,PFLU4242,none,0,0.151
A2,27,a,PFLU4242,none,0,0.181
A2,28,a,PFLU4242,none,0,0.216
A2,29,a,PFLU4242,none,0,0.253
A2,30,a,PFLU4242,none,0,0.291
A2,31,a,PFLU4242,none,0,0.338
A2,32,a,PFLU4242,none,0,0.378
A2,33,a,PFLU4242,none,0,0.41
A2,34,a,PFLU4242,none,0,0.448
A2,35,a,PFLU4242,none,0,0.474
A2,36,a,PFLU4242,none,0,0.504
A2,37,a,PFLU4242,none,0,0.532
A2,38,a,PFLU4242,none,0,0.556
A2,39,a,PFLU4242,none,0,0.59
A2,40,a,PFLU4242,none,0,0.619
A2,41,a,PFLU4242,none,0,0.64
A2,42,a,PFLU4242,none,0,0.664
A2,43,a,PFLU4242,none,0,0.685
A2,44,a,PFLU4242,none,0,0.702
A2,45,a,PFLU4242,none,0,0.719
A2,46,a,PFLU4242,none,0,0.733
A2,47,a,PFLU4242,none,0,0.745
A2,48,a,PFLU4242,none,0,0.76
A2,49,a,PFLU4242,none,0,0.769
A2,50,a,PFLU4242,none,0,0.779
A2,51,a,PFLU4242,none,0,0.79
A2,52,a,PFLU4242,none,0,0.799
A2,53,a,PFLU4242,none,0,0.805
A2,54,a,PFLU4242,none,0,0.813
A2,55,a,PFLU4242,none,0,0.826
A2,56,a,PFLU4242,none,0,0.833
A2,57,a,PFLU4242,none,0,0.844
A2,58,a,PFLU4242,none,0,0.846
A2,59,a,PFLU4242,none,0,0.854
A2,60,a,PFLU4242,none,0,0.859
A2,61,a,PFLU4242,none,0,0.866
A2,62,a,PFLU4242,none,0,0.872
A2,63,a,PFLU4242,none,0,0.879
A2,64,a,PFLU4242,none,0,0.886
A2,65,a,PFLU4242,none,0,0.891
A2,66,a,PFLU4242,none,0,0.895
A2,67,a,PFLU4242,none,0,0.9
A2,68,a,PFLU4242,none,0,0.905
A2,69,a,PFLU4242,none,0,0.91
A2,70,a,PFLU4242,none,0,0.913
A2,71,a,PFLU4242,none,0,0.918
A2,72,a,PFLU4242,none,0,0.924
A4,1,a,empty,none,100,0.002
A4,2,a,empty,none,100,0.002
A4,3,a,empty,none,100,0.002
A4,4,a,empty,none,100,0.002
A4,5,a,empty,none,100,0.003
A4,6,a,empty,none,100,0.004
A4,7,a,empty,none,100,0.004
A4,8,a,empty,none,100,0.005
A4,9,a,empty,none,100,0.006
A4,10,a,empty,none,100,0.007
A4,11,a,empty,none,100,0.007
A4,12,a,empty,none,100,0.007
A4,13,a,empty,none,100,0.011
A4,14,a,empty,none,100,0.013
A4,15,a,empty,none,100,0.015
A4,16,a,empty,none,100,0.017
A4,17,a,empty,none,100,0.02
A4,18,a,empty,none,100,0.029
A4,19,a,empty,none,100,0.036
A4,20,a,empty,none,100,0.038
A4,21,a,empty,none,100,0.048
A4,22,a,empty,none,100,0.065
A4,23,a,empty,none,100,0.079
A4,24,a,empty,none,100,0.091
A4,25,a,empty,none,100,0.119
A4,26,a,empty,none,100,0.133
A4,27,a,empty,none,100,0.162
A4,28,a,empty,none,100,0.196
A4,29,a,empty,none,100,0.237
A4,30,a,empty,none,100,0.284
A4,31,a,empty,none,100,0.34
A4,32,a,empty,none,100,0.384
A4,33,a,empty,none,100,0.432
A4,34,a,empty,none,100,0.473
A4,35,a,empty,none,100,0.509
A4,36,a,empty,none,100,0.54
A4,37,a,empty,none,100,0.571
A4,38,a,empty,none,100,0.594
A4,39,a,empty,none,100,0.627
A4,40,a,empty,none,100,0.653
A4,41,a,empty,none,100,0.677
A4,42,a,empty,none,100,0.696
A4,43,a,empty,none,100,0.721
A4,44,a,empty,none,100,0.738
A4,45,a,empty,none,100,0.753
A4,46,a,empty,none,100,0.767
A4,47,a,empty,none,100,0.777
A4,48,a,empty,none,100,0.789
A4,49,a,empty,none,100,0.801
A4,50,a,empty,none,100,0.813
A4,51,a,empty,none,100,0.82
A4,52,a,empty,none,100,0.833
A4,53,a,empty,none,100,0.838
A4,54,a,empty,none,100,0.854
A4,55,a,empty,none,100,0.862
A4,56,a,empty,none,100,0.877
A4,57,a,empty,none,100,0.883
A4,58,a,empty,none,100,0.886
A4,59,a,empty,none,100,0.894
A4,60,a,empty,none,100,0.903
A4,61,a,empty,none,100,0.909
A4,62,a,empty,none,100,0.911
A4,63,a,empty,none,100,0.921
A4,64,a,empty,none,100,0.927
A4,65,a,empty,none,100,0.929
A4,66,a,empty,none,100,0.935
A4,67,a,empty,none,100,0.941
A4,68,a,empty,none,100,0.948
A4,69,a,empty,none,100,0.952
A4,70,a,empty,none,100,0.955
A4,71,a,empty,none,100,0.96
A4,72,a,empty,none,100,0.962
A5,1,a,PFLU4242,none,100,0.002
A5,2,a,PFLU4242,none,100,0.002
A5,3,a,PFLU4242,none,100,0.002
A5,4,a,PFLU4242,none,100,0.003
A5,5,a,PFLU4242,none,100,0.003
A5,6,a,PFLU4242,none,100,0.004
A5,7,a,PFLU4242,none,100,0.004
A5,8,a,PFLU4242,none,100,0.004
A5,9,a,PFLU4242,none,100,0.004
A5,10,a,PFLU4242,none,100,0.005
A5,11,a,PFLU4242,none,100,0.011
A5,12,a,PFLU4242,none,100,0.011
A5,13,a,PFLU4242,none,100,0.014
A5,14,a,PFLU4242,none,100,0.017
A5,15,a,PFLU4242,none,100,0.022
A5,16,a,PFLU4242,none,100,0.025
A5,17,a,PFLU4242,none,100,0.029
A5,18,a,PFLU4242,none,100,0.036
A5,19,a,PFLU4242,none,100,0.044
A5,20,a,PFLU4242,none,100,0.056
A5,21,a,PFLU4242,none,100,0.063
A5,22,a,PFLU4242,none,100,0.076
A5,23,a,PFLU4242,none,100,0.075
A5,24,a,PFLU4242,none,100,0.104
A5,25,a,PFLU4242,none,100,0.123
A5,26,a,PFLU4242,none,100,0.138
A5,27,a,PFLU4242,none,100,0.172
A5,28,a,PFLU4242,none,100,0.202
A5,29,a,PFLU4242,none,100,0.248
A5,30,a,PFLU4242,none,100,0.288
A5,31,a,PFLU4242,none,100,0.344
A5,32,a,PFLU4242,none,100,0.382
A5,33,a,PFLU4242,none,100,0.433
A5,34,a,PFLU4242,none,100,0.471
A5,35,a,PFLU4242,none,100,0.506
A5,36,a,PFLU4242,none,100,0.531
A5,37,a,PFLU4242,none,100,0.56
A5,38,a,PFLU4242,none,100,0.583
A5,39,a,PFLU4242,none,100,0.612
A5,40,a,PFLU4242,none,100,0.637
A5,41,a,PFLU4242,none,100,0.66
A5,42,a,PFLU4242,none,100,0.684
A5,43,a,PFLU4242,none,100,0.695
A5,44,a,PFLU4242,none,100,0.718
A5,45,a,PFLU4242,none,100,0.734
A5,46,a,PFLU4242,none,100,0.747
A5,47,a,PFLU4242,none,100,0.755
A5,48,a,PFLU4242,none,100,0.774
A5,49,a,PFLU4242,none,100,0.782
A5,50,a,PFLU4242,none,100,0.793
A5,51,a,PFLU4242,none,100,0.805
A5,52,a,PFLU4242,none,100,0.809
A5,53,a,PFLU4242,none,100,0.822
A5,54,a,PFLU4242,none,100,0.835
A5,55,a,PFLU4242,none,100,0.842
A5,56,a,PFLU4242,none,100,0.854
A5,57,a,PFLU4242,none,100,0.862
A5,58,a,PFLU4242,none,100,0.864
A5,59,a,PFLU4242,none,100,0.877
A5,60,a,PFLU4242,none,100,0.883
A5,61,a,PFLU4242,none,100,0.889
A5,62,a,PFLU4242,none,100,0.896
A5,63,a,PFLU4242,none,100,0.897
A5,64,a,PFLU4242,none,100,0.909
A5,65,a,PFLU4242,none,100,0.908
A5,66,a,PFLU4242,none,100,0.917
A5,67,a,PFLU4242,none,100,0.927
A5,68,a,PFLU4242,none,100,0.935
A5,69,a,PFLU4242,none,100,0.937
A5,70,a,PFLU4242,none,100,0.943
A5,71,a,PFLU4242,none,100,0.943
A5,72,a,PFLU4242,none,100,0.946
A7,1,c,empty,none,0,0
A7,2,c,empty,none,0,0
A7,3,c,empty,none,0,0
A7,4,c,empty,none,0,0
A7,5,c,empty,none,0,0.001
A7,6,c,empty,none,0,0.001
A7,7,c,empty,none,0,0.002
A7,8,c,empty,none,0,0.002
A7,9,c,empty,none,0,0.003
A7,10,c,empty,none,0,0.004
A7,11,c,empty,none,0,0.005
A7,12,c,empty,none,0,0.006
A7,13,c,empty,none,0,0.008
A7,14,c,empty,none,0,0.009
A7,15,c,empty,none,0,0.012
A7,16,c,empty,none,0,0.015
A7,17,c,empty,none,0,0.018
A7,18,c,empty,none,0,0.023
A7,19,c,empty,none,0,0.029
A7,20,c,empty,none,0,0.036
A7,21,c,empty,none,0,0.044
A7,22,c,empty,none,0,0.055
A7,23,c,empty,none,0,0.066
A7,24,c,empty,none,0,0.079
A7,25,c,empty,none,0,0.094
A7,26,c,empty,none,0,0.112
A7,27,c,empty,none,0,0.135
A7,28,c,empty,none,0,0.161
A7,29,c,empty,none,0,0.196
A7,30,c,empty,none,0,0.234
A7,31,c,empty,none,0,0.272
A7,32,c,empty,none,0,0.322
A7,33,c,empty,none,0,0.36
A7,34,c,empty,none,0,0.397
A7,35,c,empty,none,0,0.424
A7,36,c,empty,none,0,0.461
A7,37,c,empty,none,0,0.489
A7,38,c,empty,none,0,0.515
A7,39,c,empty,none,0,0.537
A7,40,c,empty,none,0,0.56
A7,41,c,empty,none,0,0.587
A7,42,c,empty,none,0,0.607
A7,43,c,empty,none,0,0.632
A7,44,c,empty,none,0,0.651
A7,45,c,empty,none,0,0.668
A7,46,c,empty,none,0,0.68
A7,47,c,empty,none,0,0.689
A7,48,c,empty,none,0,0.704
A7,49,c,empty,none,0,0.714
A7,50,c,empty,none,0,0.727
A7,51,c,empty,none,0,0.737
A7,52,c,empty,none,0,0.746
A7,53,c,empty,none,0,0.757
A7,54,c,empty,none,0,0.769
A7,55,c,empty,none,0,0.776
A7,56,c,empty,none,0,0.792
A7,57,c,empty,none,0,0.797
A7,58,c,empty,none,0,0.8
A7,59,c,empty,none,0,0.809
A7,60,c,empty,none,0,0.814
A7,61,c,empty,none,0,0.823
A7,62,c,empty,none,0,0.831
A7,63,c,empty,none,0,0.837
A7,64,c,empty,none,0,0.848
A7,65,c,empty,none,0,0.852
A7,66,c,empty,none,0,0.859
A7,67,c,empty,none,0,0.862
A7,68,c,empty,none,0,0.875
A7,69,c,empty,none,0,0.877
A7,70,c,empty,none,0,0.879
A7,71,c,empty,none,0,0.891
A7,72,c,empty,none,0,0.895
A8,1,c,PFLU4242,none,0,0.002
A8,2,c,PFLU4242,none,0,0.007
A8,3,c,PFLU4242,none,0,0.007
A8,4,c,PFLU4242,none,0,0.007
A8,5,c,PFLU4242,none,0,0.008
A8,6,c,PFLU4242,none,0,0.002
A8,7,c,PFLU4242,none,0,0.003
A8,8,c,PFLU4242,none,0,0.004
A8,9,c,PFLU4242,none,0,0.005
A8,10,c,PFLU4242,none,0,0.007
A8,11,c,PFLU4242,none,0,0.009
A8,12,c,PFLU4242,none,0,0.01
A8,13,c,PFLU4242,none,0,0.012
A8,14,c,PFLU4242,none,0,0.016
A8,15,c,PFLU4242,none,0,0.02
A8,16,c,PFLU4242,none,0,0.025
A8,17,c,PFLU4242,none,0,0.032
A8,18,c,PFLU4242,none,0,0.039
A8,19,c,PFLU4242,none,0,0.048
A8,20,c,PFLU4242,none,0,0.059
A8,21,c,PFLU4242,none,0,0.07
A8,22,c,PFLU4242,none,0,0.085
A8,23,c,PFLU4242,none,0,0.1
A8,24,c,PFLU4242,none,0,0.12
A8,25,c,PFLU4242,none,0,0.146
A8,26,c,PFLU4242,none,0,0.181
A8,27,c,PFLU4242,none,0,0.215
A8,28,c,PFLU4242,none,0,0.255
A8,29,c,PFLU4242,none,0,0.304
A8,30,c,PFLU4242,none,0,0.351
A8,31,c,PFLU4242,none,0,0.386
A8,32,c,PFLU4242,none,0,0.421
A8,33,c,PFLU4242,none,0,0.45
A8,34,c,PFLU4242,none,0,0.477
A8,35,c,PFLU4242,none,0,0.504
A8,36,c,PFLU4242,none,0,0.53
A8,37,c,PFLU4242,none,0,0.55
A8,38,c,PFLU4242,none,0,0.57
A8,39,c,PFLU4242,none,0,0.599
A8,40,c,PFLU4242,none,0,0.622
A8,41,c,PFLU4242,none,0,0.64
A8,42,c,PFLU4242,none,0,0.656
A8,43,c,PFLU4242,none,0,0.675
A8,44,c,PFLU4242,none,0,0.688
A8,45,c,PFLU4242,none,0,0.701
A8,46,c,PFLU4242,none,0,0.714
A8,47,c,PFLU4242,none,0,0.723
A8,48,c,PFLU4242,none,0,0.735
A8,49,c,PFLU4242,none,0,0.745
A8,50,c,PFLU4242,none,0,0.758
A8,51,c,PFLU4242,none,0,0.766
A8,52,c,PFLU4242,none,0,0.775
A8,53,c,PFLU4242,none,0,0.785
A8,54,c,PFLU4242,none,0,0.793
A8,55,c,PFLU4242,none,0,0.807
A8,56,c,PFLU4242,none,0,0.82
A8,57,c,PFLU4242,none,0,0.826
A8,58,c,PFLU4242,none,0,0.827
A8,59,c,PFLU4242,none,0,0.839
A8,60,c,PFLU4242,none,0,0.845
A8,61,c,PFLU4242,none,0,0.852
A8,62,c,PFLU4242,none,0,0.863
A8,63,c,PFLU4242,none,0,0.869
A8,64,c,PFLU4242,none,0,0.878
A8,65,c,PFLU4242,none,0,0.882
A8,66,c,PFLU4242,none,0,0.886
A8,67,c,PFLU4242,none,0,0.896
A8,68,c,PFLU4242,none,0,0.903
A8,69,c,PFLU4242,none,0,0.908
A8,70,c,PFLU4242,none,0,0.912
A8,71,c,PFLU4242,none,0,0.923
A8,72,c,PFLU4242,none,0,0.923
B1,1,a,empty,pQBR55,0,0
B1,2,a,empty,pQBR55,0,0
B1,3,a,empty,pQBR55,0,0
B1,4,a,empty,pQBR55,0,0.001
B1,5,a,empty,pQBR55,0,0.001
B1,6,a,empty,pQBR55,0,0.002
B1,7,a,empty,pQBR55,0,0.002
B1,8,a,empty,pQBR55,0,0.003
B1,9,a,empty,pQBR55,0,0.003
B1,10,a,empty,pQBR55,0,0.004
B1,11,a,empty,pQBR55,0,0.005
B1,12,a,empty,pQBR55,0,0.006
B1,13,a,empty,pQBR55,0,0.007
B1,14,a,empty,pQBR55,0,0.009
B1,15,a,empty,pQBR55,0,0.01
B1,16,a,empty,pQBR55,0,0.012
B1,17,a,empty,pQBR55,0,0.014
B1,18,a,empty,pQBR55,0,0.017
B1,19,a,empty,pQBR55,0,0.02
B1,20,a,empty,pQBR55,0,0.025
B1,21,a,empty,pQBR55,0,0.029
B1,22,a,empty,pQBR55,0,0.035
B1,23,a,empty,pQBR55,0,0.042
B1,24,a,empty,pQBR55,0,0.05
B1,25,a,empty,pQBR55,0,0.059
B1,26,a,empty,pQBR55,0,0.07
B1,27,a,empty,pQBR55,0,0.081
B1,28,a,empty,pQBR55,0,0.096
B1,29,a,empty,pQBR55,0,0.112
B1,30,a,empty,pQBR55,0,0.133
B1,31,a,empty,pQBR55,0,0.156
B1,32,a,empty,pQBR55,0,0.183
B1,33,a,empty,pQBR55,0,0.217
B1,34,a,empty,pQBR55,0,0.254
B1,35,a,empty,pQBR55,0,0.295
B1,36,a,empty,pQBR55,0,0.339
B1,37,a,empty,pQBR55,0,0.378
B1,38,a,empty,pQBR55,0,0.413
B1,39,a,empty,pQBR55,0,0.447
B1,40,a,empty,pQBR55,0,0.475
B1,41,a,empty,pQBR55,0,0.502
B1,42,a,empty,pQBR55,0,0.528
B1,43,a,empty,pQBR55,0,0.554
B1,44,a,empty,pQBR55,0,0.577
B1,45,a,empty,pQBR55,0,0.606
B1,46,a,empty,pQBR55,0,0.632
B1,47,a,empty,pQBR55,0,0.654
B1,48,a,empty,pQBR55,0,0.68
B1,49,a,empty,pQBR55,0,0.696
B1,50,a,empty,pQBR55,0,0.712
B1,51,a,empty,pQBR55,0,0.727
B1,52,a,empty,pQBR55,0,0.741
B1,53,a,empty,pQBR55,0,0.753
B1,54,a,empty,pQBR55,0,0.765
B1,55,a,empty,pQBR55,0,0.778
B1,56,a,empty,pQBR55,0,0.791
B1,57,a,empty,pQBR55,0,0.798
B1,58,a,empty,pQBR55,0,0.806
B1,59,a,empty,pQBR55,0,0.817
B1,60,a,empty,pQBR55,0,0.823
B1,61,a,empty,pQBR55,0,0.832
B1,62,a,empty,pQBR55,0,0.839
B1,63,a,empty,pQBR55,0,0.845
B1,64,a,empty,pQBR55,0,0.853
B1,65,a,empty,pQBR55,0,0.859
B1,66,a,empty,pQBR55,0,0.866
B1,67,a,empty,pQBR55,0,0.87
B1,68,a,empty,pQBR55,0,0.878
B1,69,a,empty,pQBR55,0,0.881
B1,70,a,empty,pQBR55,0,0.89
B1,71,a,empty,pQBR55,0,0.894
B1,72,a,empty,pQBR55,0,0.899
B10,1,c,empty,pQBR55,100,0.002
B10,2,c,empty,pQBR55,100,0.002
B10,3,c,empty,pQBR55,100,0
B10,4,c,empty,pQBR55,100,0.001
B10,5,c,empty,pQBR55,100,0.001
B10,6,c,empty,pQBR55,100,0.002
B10,7,c,empty,pQBR55,100,0.004
B10,8,c,empty,pQBR55,100,0.003
B10,9,c,empty,pQBR55,100,0.004
B10,10,c,empty,pQBR55,100,0.004
B10,11,c,empty,pQBR55,100,0.005
B10,12,c,empty,pQBR55,100,0.006
B10,13,c,empty,pQBR55,100,0.007
B10,14,c,empty,pQBR55,100,0.008
B10,15,c,empty,pQBR55,100,0.01
B10,16,c,empty,pQBR55,100,0.01
B10,17,c,empty,pQBR55,100,0.013
B10,18,c,empty,pQBR55,100,0.017
B10,19,c,empty,pQBR55,100,0.02
B10,20,c,empty,pQBR55,100,0.025
B10,21,c,empty,pQBR55,100,0.031
B10,22,c,empty,pQBR55,100,0.037
B10,23,c,empty,pQBR55,100,0.046
B10,24,c,empty,pQBR55,100,0.057
B10,25,c,empty,pQBR55,100,0.066
B10,26,c,empty,pQBR55,100,0.079
B10,27,c,empty,pQBR55,100,0.094
B10,28,c,empty,pQBR55,100,0.117
B10,29,c,empty,pQBR55,100,0.144
B10,30,c,empty,pQBR55,100,0.176
B10,31,c,empty,pQBR55,100,0.211
B10,32,c,empty,pQBR55,100,0.261
B10,33,c,empty,pQBR55,100,0.307
B10,34,c,empty,pQBR55,100,0.353
B10,35,c,empty,pQBR55,100,0.39
B10,36,c,empty,pQBR55,100,0.428
B10,37,c,empty,pQBR55,100,0.456
B10,38,c,empty,pQBR55,100,0.481
B10,39,c,empty,pQBR55,100,0.507
